"","Agrupacion","Cargo","Codigo","Distrito","Establecimiento","Fecha","IdCargo","IdCircuito","IdDistrito","IdSeccion","Mesa","Seccion","electores","envio","idAgrupacion","idAgrupacionInt","tipoVoto","votos"
"60","FRENTE VAMOS CON VOS","CONCEJALES",6308,"Buenos Aires","ESCUELA EP N°3/EST N°2","14-11-2021 19:10",7,"272",2,62,"00599X","Lanús",354,9,508,45,"positivo",10
"61",NA,"CONCEJALES",6338,"Buenos Aires","ESCUELA EP N°12/ES N°52","14-11-2021 19:10",7,"274",2,62,"00803X","Lanús",352,9,NA,NA,"blancos",13
"62",NA,"CONCEJALES",6338,"Buenos Aires","ESCUELA EP N°12/ES N°52","14-11-2021 19:10",7,"274",2,62,"00803X","Lanús",352,9,NA,NA,"nulos",2
"63",NA,"CONCEJALES",6338,"Buenos Aires","ESCUELA EP N°12/ES N°52","14-11-2021 19:10",7,"274",2,62,"00803X","Lanús",352,9,NA,NA,"recurridos",0
"64",NA,"CONCEJALES",6338,"Buenos Aires","ESCUELA EP N°12/ES N°52","14-11-2021 19:10",7,"274",2,62,"00803X","Lanús",352,9,NA,NA,"comando",0
"65",NA,"CONCEJALES",6338,"Buenos Aires","ESCUELA EP N°12/ES N°52","14-11-2021 19:10",7,"274",2,62,"00803X","Lanús",352,9,NA,NA,"impugnados",0
"66","JUNTOS","CONCEJALES",6338,"Buenos Aires","ESCUELA EP N°12/ES N°52","14-11-2021 19:10",7,"274",2,62,"00803X","Lanús",352,9,506,43,"positivo",105
"67","FRENTE DE TODOS","CONCEJALES",6338,"Buenos Aires","ESCUELA EP N°12/ES N°52","14-11-2021 19:10",7,"274",2,62,"00803X","Lanús",352,9,507,44,"positivo",93
"68","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","CONCEJALES",6338,"Buenos Aires","ESCUELA EP N°12/ES N°52","14-11-2021 19:10",7,"274",2,62,"00803X","Lanús",352,9,504,41,"positivo",21
"69","AVANZA LIBERTAD","CONCEJALES",6338,"Buenos Aires","ESCUELA EP N°12/ES N°52","14-11-2021 19:10",7,"274",2,62,"00803X","Lanús",352,9,503,40,"positivo",15
"70","FRENTE VAMOS CON VOS","CONCEJALES",6338,"Buenos Aires","ESCUELA EP N°12/ES N°52","14-11-2021 19:10",7,"274",2,62,"00803X","Lanús",352,9,508,45,"positivo",10
"71",NA,"CONCEJALES",6235,"Buenos Aires","ESCUELA ES N°3","14-11-2021 19:15",7,"260",2,62,"00090X","Lanús",351,10,NA,NA,"blancos",2
